Feature,Positions,Tallies
ISO,"[1956, 1966, 1967, 1968, 1971, 1974, 1975, 1976, 1981, 1986, 1988, 1989, 1996, 1998, 2001, 2006, 2009, 2011, 2016]","[1, 57, 8, 12, 2, 4, 4, 24, 2, 60, 6, 30, 88, 60, 45, 52, 48, 20, 9]"
Multivariate,"[1956, 1961, 1964, 1965, 1966, 1970, 1971, 1975, 1976, 1980, 1981, 1984, 1986, 1989, 1991, 1994, 1995, 1996, 1999, 2000, 2001, 2006, 2008, 2009, 2010, 2011, 2015, 2016]","[16, 57, 5, 33, 13, 2, 6, 1, 162, 13, 2, 2, 44, 8, 4, 2, 1, 90, 30, 30, 103, 48, 27, 4, 2, 4, 4, 6]"
RIC,"[1956, 1957, 1958, 1961, 1964, 1966, 1971, 1974, 1976, 1981, 1982, 1983, 1984, 1986, 1996, 1997, 2001, 2003, 2006, 2007, 2011, 2016]","[9, 1, 4, 11, 1, 16, 31, 42, 13, 33, 4, 2, 2, 25, 127, 60, 56, 8, 6, 34, 8, 12]"
PIC,"[1956, 1957, 1961, 1965, 1966, 1976, 1986, 1996, 2000, 2001, 2010, 2011]","[21, 1, 2, 36, 33, 160, 4, 26, 60, 157, 9, 33]"
Tonal_S,"[1961, 1962, 1966, 1971, 1976, 1984, 1985, 1986, 1991, 1996, 2000, 2001, 2006, 2007, 2008, 2009, 2010, 2011, 2014, 2015]","[68, 6, 10, 4, 36, 6, 4, 44, 10, 1, 60, 134, 15, 24, 7, 2, 2, 1, 2, 12]"
Pitch_SD,"[1956, 1961, 1964, 1965, 1966, 1970, 1971, 1976, 1977, 1985, 1986, 1991, 1992, 1993, 2001, 2011]","[5, 8, 11, 31, 30, 4, 4, 166, 60, 1, 2, 36, 7, 7, 141, 9]"
TI_OD,"[1966, 1970, 1971, 1976, 1984, 1985, 1986, 1987, 1994, 1996, 2000, 2001, 2002, 2006, 2007, 2008, 2009, 2011, 2015, 2016]","[20, 44, 60, 2, 2, 1, 78, 11, 30, 128, 3, 39, 1, 59, 4, 26, 4, 9, 6, 12]"
Onset_Density,"[1956, 1965, 1966, 1976, 1980, 1981, 1986, 1990, 1991, 1996, 2000, 2001, 2006, 2011, 2012, 2013, 2014, 2015, 2016]","[12, 48, 72, 37, 25, 11, 3, 2, 5, 72, 60, 116, 1, 17, 2, 5, 5, 12, 12]"
MIS,"[1956, 1957, 1961, 1963, 1966, 1969, 1970, 1971, 1972, 1976, 1979, 1981, 1986, 1991, 1993, 1994, 1995, 1996, 2001, 2003, 2004, 2006, 2009, 2011, 2015, 2016]","[31, 1, 54, 48, 30, 6, 3, 12, 1, 33, 6, 2, 3, 11, 1, 4, 6, 16, 46, 30, 30, 92, 9, 8, 1, 1]"
